id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
339;Express $z=\pi \operatorname{e}^{-i\frac{\pi}{3}}$ in the form $z=a+bi$. ;2;$z=\dfrac{\pi}{2}-\dfrac{\pi\sqrt{3}}{2}i$;$z=\dfrac{\pi\sqrt{3}}{2}-\dfrac{\pi}{2}i$;$z=-\dfrac{\pi}{2}+\dfrac{\pi\sqrt{3}}{2}i$;$z=\dfrac{\pi}{2}+\dfrac{\pi\sqrt{3}}{2}i$;10;Complex Numbers
340;Let $z\in\mathbb{C}$ be a complex number. Then we always have:;6;$w=z\bar{z}$ is a non-negative real number.;$z=\bar{z}$.;$\operatorname{Re}(z)=\dfrac{z-\bar{z}}{2}$.;$\operatorname{Im}(z)=\dfrac{z+\bar{z}}{2i}$.;10;Complex Numbers
341;If $z=3+4i$ and $w=1-2i$ then;4;$\dfrac{z}{w}=-1+2i$;$\dfrac{z}{w}=3+4i$;$\dfrac{z}{w}=1+2i$;$\dfrac{z}{w}=-3+4i$;10;Complex Numbers
342;If $z=1+\sqrt{3}i$ and $w=\sqrt{3}+i$ then ;3;$\dfrac{z}{w}=\operatorname{e}^{i\frac{\pi}{6}}$;$\dfrac{z}{w}=\cos\left(\dfrac{\pi}{2}\right)+i\sin\left(\dfrac{\pi}{2}\right)$;$\dfrac{z}{w}=4e^{i\frac{\pi}{6}}$;$\dfrac{z}{w}=\dfrac{\sqrt{3}}{2}-\dfrac{1}{2}i$;10;Complex Numbers
343;"A population of $600$ semiconductor wafers contains wafers from three lots. The wafers are categorised by lot and by whether they conform to a thickness specification. The following table presents the number of wafers in each category.

$$\begin{array}{l c c} 
\hline
\text{Lot} & \text{Conforming} & \text{Nonconforming} \\ 
\hline
A & 88  & 12 \\ 
B & 165 & 35 \\ 
C & 260 & 40 \\ 
\hline
\end{array}$$

If the wafer is conforming, what is the probability that it is from Lot $A$?";2;$0.172$;$0.843$;$0.880$;$0.493$;17;Probability 
344;Let $A$ and $B$ be events with $P(A)=0.8$ and $P(A\cap B)=0.2$. For what value of $P(B)$ will $A$ and $B$ be independent?;5;$0.25$;$0.20$;$0.80$;$0.75$;17;Probability 
345;Using the principal argument, the polar form of $z=1-\sqrt{3}i$ is;4;$z=2\left(\cos\left(\dfrac{\pi}{3}\right)-i\sin\left(\dfrac{\pi}{3}\right)\right)$;$z=2\left(\cos\left(\dfrac{\pi}{3}\right)+i\sin\left(\dfrac{\pi}{3}\right)\right)$;$z=2\left(\cos\left(\dfrac{5\pi}{3}\right)+i\sin\left(\dfrac{5\pi}{3}\right)\right)$;$z=2\left(\cos\left(\dfrac{5\pi}{3}\right)-i\sin\left(\dfrac{5\pi}{3}\right)\right)$;10;Complex Numbers
346;Given two complex numbers $z$ and $w$ we have;6;$\operatorname{Re}(z+w)= \operatorname{Re}(\,\overline{z}\,) + \operatorname{Re}(\,\overline{w}\,)$;$\operatorname{Re}(z w)= \operatorname{Re}(z) \operatorname{Re}(w)$;$\operatorname{Re}\left(\dfrac{z}{w}\right)= \dfrac{\operatorname{Re} (z)}{\operatorname{Re}(w)}$, for $w\neq 0$;$\operatorname{Re}(\,\overline{z+w}\,)= \operatorname{Re}(z) - \operatorname{Re}(w)$;10;Complex Numbers
347;Given two complex numbers $z$ and $w$ we have;3;$\operatorname{Im}(\,\overline{z+w}\,)= \operatorname{Im}(\,\overline{z}\,) + \operatorname{Im}(\,\overline{w}\,)$;$\operatorname{Im}(z+w)= \operatorname{Im}(z) - \operatorname{Im}(w)$;$\operatorname{Im}(z w)= \operatorname{Im}(z)  \operatorname{Im}(w)$;$\operatorname{Im}\left(\dfrac{z}{w}\right)= \dfrac{\operatorname{Im} (z)}{\operatorname{Im}(w)}$, for $w\neq 0$;10;Complex Numbers
348;The set of points $z$ in the complex plane that satisfy the relation $|z+1-2i|=2$ is the;3; circle of radius $2$ and center $-1+2i$.;circle of radius $2$ and center $1-2i$.;circle of radius $\sqrt{2}$ and center $-1+2i$.;circle of radius $\sqrt{2}$ and center $1-2i$.;10;Complex Numbers
349;The set of points in the complex plane that satisfy the relation $|z+2i|\leq 1$ is the;6;disc of radius $1$ and center $-2i$.;disc of radius $1$ and center $2i$.;circle of radius $1$ and center $-2i$.;circle of radius $1$ and center $2i$.;10;Complex Numbers
351;The trigonometric form of the complex number $z=\left(\cos\left(\dfrac{\pi}{3}\right)-i\sin\left(\dfrac{\pi}{3}\right)\right)^7$ is;2;$z=\cos\left(\dfrac{\pi}{3}\right)-i\sin\left(\dfrac{\pi}{3}\right)$;$z=-\cos\left(\dfrac{\pi}{3}\right)-i\sin\left(\dfrac{\pi}{3}\right)$;$z=-\cos\left(\dfrac{\pi}{3}\right)+i\sin\left(\dfrac{\pi}{3}\right)$;$z=\cos\left(\dfrac{\pi}{3}\right)+i\sin\left(\dfrac{\pi}{3}\right)$;10;Complex Numbers
352;Which one of the following propositions is false?;6;$\left||z|-|\,\overline{z}\,|\right|\geq|z-\overline{z}|$, $z\in\mathbb{C}$;$\sqrt{2}\,|z|\geq|\operatorname{Re}(z)|+|\operatorname{Im}(z)|$, $z\in\mathbb{C}$;$|z^n|=|z|^n$, where $n$ is an integer and $z\in\mathbb{C}$;$|z|+|\,\overline{z}\,|\geq|z+\overline{z}|$, $z\in\mathbb{C}$;10;Complex Numbers
353;Represent $z=(3+3i)^5$ in the form $a+bi$.;4;$z=-972-972i$;$z=972+972i$;$z=-243-243i$;$z=243+243i$;10;Complex Numbers
354;The square roots of $2i$ are;3;$z=\pm(1+i)$ ;$z=1\pm i$;$z=\pm\sqrt{2}i$;$z=\pm(-1+i)$;10;Complex Numbers
355;Represent $z=(1+i)^3$ in the form $a+bi$.;2;$z=-2+2i$;$z=-2-2i$;$z=2-2i$;$z=2+2i$;10;Complex Numbers
356;Represent $z=(1-2i)^4$ in the form $a+bi$.;4;$z=-7+24i$;$z=1+16i$;$z=-15$;$z=1-16i$;10;Complex Numbers
357;The complex solutions of the equation  $\,\overline{z}-z=0$ are the complex numbers $z\in\mathbb{C}$ such that;2;$\operatorname{Im}(z)=0$;$\operatorname{Re}(z)=0$3;$\operatorname{Re}(z)+\operatorname{Im}(z)=0$;$\operatorname{Re}(z)=\operatorname{Im}(z)$;10;Complex Numbers
358;Simplify the expression $ \ \dfrac{1+i}{1-i}-(1+2i) \cdot (2+2i)+\dfrac{3-i}{1+i}$.;4;$3-7i$;$3+7i$;$-3+7i$;$-3-7i$;10;Complex Numbers
359;The principal argument and the exponential form of $\displaystyle z=-\frac{i}{2i+2}$ is;4;$\operatorname{Arg}(z)=-\dfrac{3\pi}{4}$ and $z=\dfrac{\sqrt{2}}{4}\operatorname{e}^{-i\frac{3\pi}{4}}$;$\operatorname{Arg}(z)=-\dfrac{5\pi}{4}$ and $z=\dfrac{\sqrt{2}}{4}\operatorname{e}^{-i\frac{5\pi}{4}}$;$\operatorname{Arg}(z)=\dfrac{5\pi}{4}$ and $z=\dfrac{1}{\sqrt{8}}\operatorname{e}^{i\frac{5\pi}{4}}$;$\operatorname{Arg}(z)=\dfrac{3\pi}{4}$ and $z=\dfrac{1}{\sqrt{8}}\operatorname{e}^{i\frac{3\pi}{4}}$ ;10;Complex Numbers
360;If $z=1+\sqrt{3}i$ and $w=\sqrt{3}+i$ then;5;$z w=4i$;$z w=\cos\left(\dfrac{\pi}{2}\right)-i\sin\left(\dfrac{\pi}{2}\right)$;$z w=4\operatorname{e}^{-i\frac{\pi}{2}}$;$z w=\operatorname{e}^{i\frac{\pi}{6}}$;10;Complex Numbers
362;The complete bipartite graph $K_{m,n}$ has:;3;$m\times n$ edges.;$m+n$ edges.;odd cycles.;$m \times n$ vertices.;22;Graph Theory
363;The faces of a regular dodecahedron are:;2;pentagons.;pentagons and triangles.;triangles and squares.;triangles.;7;Fundamental Mathematics
364;If the basis of a pyramid is a n-sided polygon, how many faces does the pyramid have?;2;It has $n+1$ faces.;It has $n+2$ faces.;It has $n$ faces.;It has $n-1$ faces.;7;Fundamental Mathematics
365;The graph in the picture;2;is Hamiltonian.;is bipartite.;is complete.;is Eulerian.;22;Graph Theory
366;How many faces does a prism have if the bases are n-sided polygons?;2;It has $n+2$ faces.;It has $n$ faces.;It has $n+3$ faces.;It has $n+1$ faces.;7;Fundamental Mathematics
367;Identify the prisms that have less than $6$ vertices.;2;There are no such prisms.;Hexagonal prisms.;Pentagonal prisms.;Heptagonal prisms.;7;Fundamental Mathematics
368;Identify the true statement.;1;The regular tetrahedron has four geometrically equal faces.;The tetrahedron has less than four faces.;The tetrahedron has at least four faces.;The tetrahedron is a platonic solid.;7;Fundamental Mathematics
369;A quadrilateral is a rectangle when;1;all four internal angles are congruent.;it has congruent internal angles two by two OR it has two pairs of congruent internal angles.;it has congruent sides two by two OR it has two pairs of congruent sides.;it has parallel sides two by two OR it has two pairs of parallel sides.;7;Fundamental Mathematics
370;Which of the following graphs admits an Euler circuit?;2;$G_1$ and $G_3$.;All graphs.;None of the graphs.;$G_1$ and $G_2$.;22;Graph Theory
371;In a parallelogram;1;the two diagonals bisect.;the two diagonals are perpendicular.;the four sides are congruent.;the four angles are congruent.;7;Fundamental Mathematics
372;Which of the following sentences is false?;4;The graph has a circuit.;The graph has a cycle.;The graph is Eulerian.;The graph is Hamiltonian.;22;Graph Theory
373;The complete graph $K_n$ is:;4;Eulerian for odd values of $n$.;Hamiltonian for all values of $n$.;Eulerian for even $n$.;bipartite for all $n$.;22;Graph Theory
374;In a tree with six vertices;3;there are five edges.;all vertices have degree three.;there are two leafs, that is, two vertices with degree one.;there is a cycle.;22;Graph Theory
375;Consider the linear application $T:\mathbb{R}^2 \longrightarrow \mathbb{R}^2$ such that $T(x,y)= \left(2x-y,6x-3y\right)$. Choose the wrong answer.;2;"$dim\left(ker(T)\right)= 1$
";"$ker(T)=\left\{(0,0)\right\}$
";"$range(T)=\mathbb{R}^2$
";$dim\left(range(T)\right)= 2$;18;Linear Algebra
376;"Consider the linear transformation $T:\mathbb{R}^2 \longrightarrow \mathbb{R}^3$ defined by $T(x,y)= \left(x+y,2x-y,3y\right)$ and the basis $A=\left\{(1,1),(-1,2)\right\}$ and $B=\left\{(0,0,1),(0,2,0),(3,0,0)\right\}$ of $\mathbb{R}^2$ and $\mathbb{R}^3$, respectively. 
Indicate the transformation matrix $T$ relative to the basis $A$ and $B$.";2;"$\left[\begin{array}{rr}
      3& 6 \\
			\dfrac{1}{2} & -2\\
					\dfrac{2}{3}& \dfrac{1}{3}\end{array}\right]$ ";"$\left[\begin{array}{rrr}
      3& \dfrac{1}{2} &\dfrac{2}{3}\\
	6 & -2 & \dfrac{1}{3}\end{array}\right]$";"$\left[\begin{array}{ccc}
      0& 0 & 3 \\
	0 & 2 & 0\\
	1& 0 & 0 \end{array}\right]$";"$\left[\begin{array}{rr}
      1& -1 \\
     1 & 2
\end{array}\right]$";18;Linear Algebra
377;Consider the linear transformation  $T:\mathbb{R}^3 \longrightarrow \mathbb{R}^3$ defined by $T(x,y,z)=(x+y,0,y+z)$. Choose the right answer.;2;$ker(T)=\left\{(x,-x,x)\in \mathbb{R}^3: x\in \mathbb{R}\right\}$;"The transformation $T$ is injective
";"$dim \left(ker(T)\right)=3$
";"The transformation matrix T relative to the canonical basis is $\left[\begin{array}{ccc}
      1& 0 & 0 \\
	1 & 0 & 1 \\
	0 & 0 & 1
			\end{array}\right]$";18;Linear Algebra
378;Consider the linear operator $F:\mathbb{R}^2 \longrightarrow \mathbb{R}^2$ such that $F(x,y)=(x+2y,2x+3y)$. Choose the right answer:;1;"$F^{-1}$ is a symmetric operator defined by $F^{-1}(x,y)=(-3x+2y, 2x-y)$
";"$F^{-1}$ does not exist
";"$F^{-1}$ is defined by $F^{-1}(x,y)=(3x-2y, -2x+y)$ and is not a symmetric operator
";$F^{-1}$ is a symmetric operator defined by $F^{-1}(x,y)=(3x-2y, 2x-y)$;18;Linear Algebra
379;Consider the linear transformation $F:\mathbb{R}^n \longrightarrow \mathbb{R}^m$ such that $F(v)=Av$ for $v\in \mathbb{R}^n$ and $A$ being a $m\times n$ matrix.  $F$ is an isomorphism if and only if: ;1;"$m=n$ and $|A|\neq 0$
";"$m\neq n$
";"$A^{-1}$  does not exist
";$m=n$;18;Linear Algebra
380;"Let the linear application $F: \mathbb{R}^2\rightarrow \mathbb{R}^3$ be defined by $F(x, y)=(x, y, x-y)$. 
When considering the bases $A= \{(1, 2), (3,5)\}$ of $\mathbb{R}^2$ and $B= \{(1, 2,0), (2, -3,1), (0, -1, 1)\}$ of $\mathbb{R}^3$, the application $F$ is represented by the matrix: ";4;"$A=\left[\begin{array}{rr}
 \dfrac{2}{3} & 2  \\
  \dfrac{1}{6} & \dfrac{1}{2} \\
  -\dfrac{7}{6} & -\dfrac{5}{2}  
\end{array}\right]$ ";"$A=\left[\begin{array}{rr}
 1  & 0  \\
  0 & 1  \\
  1 & -1  
\end{array}\right]$";"$A=\left[\begin{array}{rrr}
 1  & 0 & 1 \\
  0 & 1  & -1
\end{array}\right]$ ";"$A=\left[\begin{array}{rr}
 \dfrac{2}{3}  & 2  \\
  \dfrac{1}{3} & \dfrac{1}{2} \\
  -\dfrac{7}{3} & -\dfrac{5}{2} 
\end{array}\right]$";18;Linear Algebra
381;"Consider the linear transformation $F: \mathbb{R}^2\rightarrow \mathbb{R}^3$ be defined by $F(x, y)=(x+3y, 2x-y, x)$. 
Let the kernel, $ker(F)$ and the space image of $F$, $range(F)$, respectively.  Choose the right answer:";4;$ker(F)= \{(0, 0)\}$ and $range(F)=\{(x, y, z)\in \mathbb{R}^3: x+3y-7z=0\}$ ;"$(0, 3) \in ker(F)$ and $range(F)=\{(x, y, z)\in \mathbb{R}^3: x+3y=7z\}$
";"$ker(F)=\mathbb{R}^2$ and $range(F)=\mathbb{R}^3$
";$ker(F)=\{(x, -3x, 2x)\}$ and $range(F)=\mathbb{R}$;18;Linear Algebra
382;Select the linear transformation which is an isomorphism.;3;"$T:\mathbb{R}^2\longrightarrow \mathbb{R}^2$, where $T(x,y)=(-3x+y,4x)$
";"$T:\mathbb{R}^3\longrightarrow \mathbb{R}^2$, where $T(x,y,z)=(2x+y,z)$
";"$T:\mathbb{R}^2\longrightarrow \mathbb{R}^3$, where $T(x,y)=(0,-x+y,5y)$
";$T:\mathbb{R}^3\longrightarrow \mathbb{R}^3$, where $T(x,y,z)=(-6y-2z,-2x,3y+z)$;18;Linear Algebra
383;"Consider the linear application $T: \mathbb{R}^3\rightarrow \mathbb{R}^2$, such that 
$$T(1,0,1)=(-2,4), \quad T(0,-1,2)=(5, 0), \quad T(0,0,3)=(-6,3)$$ 
Choose the right answer. ";2;"$T(x,y,z)=(-9y-2z,3x+2y+z)$ 
";"$T(x,y,z)=(-2x+5y-6z,4x+3z)$
";"$T(x,y,z)=(x,-y,x+2y+3z)$ 
";$T(x,y,z)=(y-2z,3x+y+z)$;18;Linear Algebra
384;Choose the right answer: ;1;"The rotation function  $F_\theta:\mathbb{R}^2\rightarrow \mathbb{R}^2$ associated with the  $\theta$ angle is an orthogonal linear operator
";"The translation function $F_v:\mathbb{R}^2\rightarrow \mathbb{R}^2$ associated to vector $v$ is a linear operator
";"The reflection function $F:\mathbb{R}^2\rightarrow \mathbb{R}^2$ around the line y = x, defined by $F(x,y)=(y, x)$ is a non-orthogonal linear operator
";The rotation function  $F_\theta:\mathbb{R}^2\rightarrow \mathbb{R}^2$ associated with the  $\theta$ angle is a non-orthogonal linear operator;18;Linear Algebra
385;"Consider the linear application $F: \mathbb{R}^3\rightarrow \mathbb{R}^2$, such that $$F(1, 0, -1)=(1, -1), \quad F(2, 0, 1)=(2,1),\quad  F(0, -1, 1)=(0,2),$$ where $B=\{(1, 0, -1), (2, 0, 1), (0, -1, 1)\}$ is a base of $\mathbb{R}^3$. 
Choose the right answer: ";4;"$F(8, 2, -1)=(8, -3)$ 
";"$F(8, 2, -1)=(8, 2)$
";"$F(8, 2, -1)=(0, -3)$ 
";$F(8, 2, -1)=(2, 3, -2)$;18;Linear Algebra
386;How many non-isomorphic spanning trees are there in the graph?;4;$3$;$4$;$5$;$6$;22;Graph Theory
388;Find $\displaystyle\int \dfrac{x^2+1}{x^2+x}\, dx$.;3;"$\displaystyle x+\ln|x|-2\ln|x+1|+ c$
";"$\displaystyle x+c$
";"$\displaystyle \ln|x|+ c$
";$\displaystyle \dfrac{x}{2}+ c$;5;Integration
389;Find $\displaystyle\int \dfrac{x^3-x+1}{x^2-x}\, dx$.;3;$\displaystyle \frac{x^2}{2}+x-\ln|x|+\ln|x-1|+ c$;"$\displaystyle \dfrac{1}{x}\ln|x^2 -x|+c$
";"$\displaystyle x+ c$
";$\displaystyle \dfrac{x^2}{2}+x+ c$;5;Integration
390;Find $\displaystyle\int \dfrac{{\operatorname{e}^{2x}}}{{\operatorname{e}^{4x}}+1}\, dx$.;1;$\displaystyle \dfrac{1}{2}\arctan(\operatorname{e}^{2x})+c$;"$\displaystyle \arctan(\operatorname{e}^{2x})+c$
";"$\displaystyle 2\arctan(\operatorname{e}^{2x})+c$
";$\displaystyle \dfrac{1}{4}\arctan(\operatorname{e}^{2x})+c$;5;Integration
391;Find $\displaystyle\int \dfrac{{\operatorname{e}^{4x}}}{{\operatorname{e}^{4x}}+1}\, dx$.;1;"$\displaystyle \dfrac{1}{4}\ln(\operatorname{e}^{4x}+1)+c$ 
";$\displaystyle \arctan(\operatorname{e}^{2x})+c$;$\displaystyle \ln(\operatorname{e}^{4x}+1)+c$;$\displaystyle \dfrac{1}{4}\arctan(\operatorname{e}^{4x})+c$;5;Integration
392;Find $\displaystyle\int \operatorname{e}^{\sqrt x }\, dx$.;2;$\displaystyle2\operatorname{e}^{\sqrt x } (\sqrt x -1)+c$ ;"$\displaystyle \operatorname{e}^{\sqrt x }+c$
";"$\displaystyle \operatorname{e}^{x}+c$
";$\displaystyle \dfrac{1}{\sqrt x}\operatorname{e}^{\sqrt x }+c$;5;Integration
393;Find $\displaystyle\int\dfrac{1}{x\ln \left(x^2\right)}\, dx$.;1;$\displaystyle \dfrac{1}{2}\ln\left|\ln \left(x^2\right)\right|+c$;"$\displaystyle \ln\left|\ln \left(x\right)\right|+c$
";"$\displaystyle \dfrac{1}{\ln^2\left(x^2\right)}+c$
";$\displaystyle \dfrac{1}{2}\ln^2\left(x^2\right)+c$;5;Integration
394;Find $\displaystyle\int\dfrac{\ln^3\left(2x+2\right)}{x+1}\, dx$.;1;$\displaystyle \dfrac{1}{4}\ln ^4\left(2\left(x+1\right)\right)+c$;"$\displaystyle \dfrac{1}{8}\ln ^4\left(2\left(x+1\right)\right)+c$
";"$\displaystyle \dfrac{2\ln^4\left(2x+2\right)}{(x+1)^2}+c$
";$\displaystyle \dfrac{1}{2}\ln^2\left(2x+2\right)+c$;5;Integration
395;Find $\displaystyle\int\tan^3\left(3x\right)\, dx$.;4;$\displaystyle -\dfrac{1}{3}\ln \left|\sec \left(3x\right)\right|+\dfrac{\sec ^2\left(3x\right)}{6}+c$ ;"$\displaystyle \dfrac{\tan^4\left(3x\right)}{12}+c$
";"$\displaystyle \dfrac{2\ln^4\left(2x+2\right)}{(x+1)^2}+c$
";$\displaystyle \dfrac{1}{2}\sec(3x)\ln^2\left(3x\right)+c$;5;Integration
396;Find $\displaystyle\int \sin^2(x)\cos^3(x)\, dx$.;2;$\displaystyle\dfrac{\sin^3(x)}{3}-\dfrac{\sin^5(x)}{5}+c$;"$\displaystyle\dfrac{\sin^3(x)}{3}\dfrac{\cos^4(x)}{4}+c$
";"$\displaystyle 3\sin(x)\dfrac{\cos^2(x)}{5}+c$
";\item $\displaystyle \cos(x)+\sin(x)$;5;Integration
397;Find $\displaystyle\int x\cos(x^2)\sin^3(x^2)\, dx$.;4;$\displaystyle\dfrac{1}{8}\sin^4(x^2)+c$;"$\displaystyle\dfrac{\sin^3(x)}{3}-\dfrac{\sin^5(x)}{5}+c$
";"$\displaystyle 3\sin(x)\dfrac{\cos^2(x)}{4}+c$
";$\displaystyle \cos(x)+\sin(x)$;5;Integration
398;Find $\displaystyle\int \dfrac{1}{2\sqrt{x}}\sec^2(\sqrt{x})\tan(\sqrt{x})\, dx$.;1;$\displaystyle\dfrac{\tan^2(\sqrt{x})}{2}+c$;"$\displaystyle\tan|\sqrt{x}|+c$ 
";"$\displaystyle\ln|\tan{\sqrt{x}}-\sec(\sqrt{x})|+c$
";$\displaystyle\dfrac{\tan^2(x)}{2}+c$;5;Integration
399;Find $\displaystyle\int \dfrac{1}{2\sqrt{x}}- \dfrac{1}{2\sqrt{x}}\sec^2(\sqrt{x})+ \sec^2(3x)\tan^3(3x)\, dx$.;4;$\displaystyle\sqrt{x}-\tan\left(\sqrt{x}\right)+\dfrac{1}{12}\tan^4(3x)    +c$;"$\displaystyle\dfrac{\tan^2(\sqrt{x})}{2}+c$. 
";"$\displaystyle\sqrt{x}-2\tan\left(\dfrac{x}{2}\right)+ \dfrac{\sec ^4\left(3x\right)}{4}-\dfrac{\sec ^2\left(3x\right)}{2}+c$
";$\displaystyle\dfrac{\tan^4(x)}{4}+c$;5;Integration
400;Find $\displaystyle\int \dfrac{1}{\sqrt{x}}\operatorname{cosec}^2(\sqrt{x})\cot^4(\sqrt{x})\, dx$.;1;$\displaystyle-\dfrac{2\cot^5(\sqrt{x})}{5}+c$;"$\displaystyle\dfrac{2\cot^5(\sqrt{x})}{5}+c$ 
";"$\displaystyle-\dfrac{\cot^5(\sqrt{x})}{5}+c$
";$\displaystyle\dfrac{\cot^5(\sqrt{x})}{5}+c$;5;Integration
401;Find $\displaystyle\int \sqrt[3]{1+7x}\, dx$.;1;$\dfrac{3}{28}\left(1+7x\right)^{\frac{4}{3}}+c$;"$\dfrac{3}{4}\left(1+x\right)^{\frac{4}{3}}+c$ 
";"$\dfrac{3}{4}\left(1+7x\right)^{\frac{4}{3}}+c$
";$\left(1+7x\right)^{\frac{4}{3}}+c$;5;Integration
402;Find $\displaystyle\int x\arctan\left(x\right)\, dx$.;2;$\displaystyle\dfrac{1}{2}x^2\arctan \left(x\right)-\dfrac{1}{2}\left(-\arctan \left(x\right)+x\right)+c$;"$\displaystyle\dfrac{1}{2}x^2\arctan \left(x\right)+\dfrac{1}{2}\left(-\arctan \left(x\right)+x\right)+c$
";"$0$
";$\displaystyle x^2\arctan \left(x\right)-\left(-\arctan \left(x\right)+x\right)+c$;5;Integration
403;Find $\displaystyle\int \dfrac{x+2}{x\left(x^2+1\right)}\, dx$.;2;$\arctan \left(x\right)+2\ln \left|x\right|-\ln \left|x^2+1\right| +c$;"$\arctan \left(x\right)-\ln \left|x\right|-\ln \left|x^2+1\right| +c$ 
";"$x +2\ln \left|x\right|-\ln \left|x^2+1\right|  +c$
";$x-\ln \left|x\right|-\ln \left|x^2+1\right| +c$;5;Integration
404;Find $\displaystyle\int \dfrac{x-4}{x^3-x}\, dx$.;3;$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\left(\ln \left|x^2-1\right|-2\ln \left(x\right)\right)+c$;"$\displaystyle -\ln \left|x+1\right|+\ln \left|x-1\right|-\left(\ln \left|x^2-1\right|-\ln \left(x\right)\right)+c$ 
";"$\displaystyle -\ln \left|x+2\right|+\ln \left|x-2\right|-\left(\ln \left|x^2-2\right|-\ln \left(2x\right)\right)+c$
";$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$;5;Integration
405;Find $\displaystyle\int \dfrac{x^4-4}{x^3-3x}\, dx$.;2; $\displaystyle \dfrac{x^2}{2}+\dfrac{5}{6}\ln \left|x-\sqrt{3}\right|+\dfrac{5}{6}\ln \left|x+\sqrt{3}\right|+\dfrac{4}{3}\ln \left(x\right)+c$;"$\displaystyle x^2+\dfrac{5}{6}\ln \left|(x-\sqrt{3})(x+\sqrt{3})\right|+\dfrac{4}{3}\ln \left(x\right)+c$ 
";"$\displaystyle \dfrac{x^2}{2}-\ln|x^2-3|+\dfrac{4}{3}\ln \left(x\right)+c$ 
";$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$ ;5;Integration
406;Find $\displaystyle\int \dfrac{x^3-x+1}{x}\, dx$.;1;$\displaystyle \dfrac{x^3}{3}-x+\ln \left|x\right|+c$;"$\displaystyle -\ln \left|x+1\right|+\ln \left|x-1\right|-\left(\ln \left|x^2-1\right|-\ln \left(x\right)\right)+c$ 
";"$\displaystyle -\ln \left|x+2\right|+\ln \left|x-2\right|-\left(\ln \left|x^2-2\right|-\ln \left(2x\right)\right)+c$
";$\displaystyle -\dfrac{1}{2}\ln \left|x+1\right|+\dfrac{1}{2}\ln \left|x-1\right|-2\ln \left(x\right)+c$;5;Integration
407;Find $\displaystyle\int \sin\left(x\right)\operatorname{e}^x\, dx$.;2;$\displaystyle -\dfrac{\operatorname{e}^x\cos \left(x\right)}{2}+\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$;"$\displaystyle -\cos\left(x\right)\operatorname{e}^x+c$
";"$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{2}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{2}+c$
";$\displaystyle \dfrac{\operatorname{e}^x\cos \left(x\right)}{5}-\dfrac{\operatorname{e}^x\sin \left(x\right)}{15}+c$ ;5;Integration
